"","Estimate","Std. Error","t value","Pr(>|t|)","signf"
"(Intercept)",3.022,0.089,34.061,0,1
"Farmpc",-0.002,0.001,-2.419,0.016,1
"GenderMale",-0.1,0.037,-2.673,0.008,1
"Ladder",-0.024,0.009,-2.638,0.009,1
"DisasterFreeNo",-0.062,0.052,-1.175,0.24,0
"EducationBasic Literacy",-0.03,0.051,-0.587,0.557,0
"EducationPrimary",0.002,0.058,0.031,0.975,0
"EducationSecondary or more",-0.224,0.068,-3.279,0.001,1
"EnergySuffNo",0.137,0.058,2.36,0.019,1
"EnoughFoodNo",-0.029,0.081,-0.361,0.718,0
"EnoughIncomeNo",0.069,0.062,1.115,0.265,0
"HealthyNo",0.151,0.061,2.459,0.014,1
"LocationSulubung",-0.398,0.067,-5.919,0,1
"LocationYamphudin",-0.872,0.067,-12.948,0,1
"WaterAccessNo",0.006,0.063,0.089,0.929,0
"EnoughIncomeNo:LocationSulubung",-0.047,0.089,-0.527,0.598,0
"EnoughIncomeNo:LocationYamphudin",0.192,0.104,1.85,0.065,0
"LocationSulubung:HealthyNo",-0.227,0.097,-2.351,0.019,1
"LocationYamphudin:HealthyNo",-0.185,0.107,-1.73,0.084,0
"LocationSulubung:WaterAccessNo",0.023,0.087,0.263,0.792,0
"LocationYamphudin:WaterAccessNo",0.382,0.12,3.195,0.001,1
