hid,Location,Caste,House.Material,Age,Gender,Education,q3_Ladder,q5_AgriTrends,q6_AgroDiversity,q7_AgroWildlife,q11_ForestArea,q12_ForestQuality,q13_ForestWildlife,q15_FreshwaterQuant,q16_FreshwaterQual,q17_FreshwaterWildlife,q19A_GrasslandEcosystem,q20_NatureFood,q22_FoodTrends,q24_EnoughFood,q25_Farmpc,q26_Huntpc,q27_Land_ha,tlu,q29_Occupation_Business,q29_Occupation_Tourism,q29_Occupation_Health,q29_Occupation_Agriculture,q29_Occupation_Government,q29_Occupation_Education,q29_Occupation_Labour,q29_Occupation_Private,q29_Occupation_Others,q30_EnoughIncome,q31_NatureWork,q33_IncomeTrends,q35_Healthy,q37_HealthCheck_Hospital,q37_HealthCheck_Aayurved,q37_HealthCheck_Homemade,q37_HealthCheck_Pharmacy,q37_HealthCheck_Dhami,q39_NatureHealth,q41_HealthTrends,q43_WaterSource_Tap,q43_WaterSource_River,q43_WaterSource_Tube,q43_WaterSource_Spring,q43_WaterSource_Well,q43_WaterSource_Lake,q43_WaterSource_Others,q44_Toilet,q45_NatureWater,q47_WaterShortage,q48_WaterTrends,q50_Electricity,q51_Cook,q52_NatureEnergy,q54_EnergySuff,q55_ElectricitySuff,q56_EnergyTrends,q57_ElectricityTrends,q59_FamEducation,q60_EnvEducation_School,q60_EnvEducation_Media,q60_EnvEducation_Fam,q60_EnvEducation_Elders,q60_EnvEducation_NGO,q60_EnvEducation_Others,q61_NatureEducation,q62_EducationTrends,q64_Drr,q66_DrrTrends,q67_NatureDrr,q70_Recre,q74_NatureRecrea,q75_Culture,q79_NatureCulture,q82_ConservationNature,q84_ConservationPeople,Nature
MC1,Sulubung,Ethnic,2,23,1,2,8,5,2,2,4,2,4,3,2,3,,1,3,0,30,0,0.51,2,0,0,0,1,0,0,0,0,0,5,4,5,2,0,0,0,1,0,3,3,0,0,0,1,0,0,0,1,2,2,3,1,Firewood,2,4,1,4,1,2,1,1,1,0,0,0,3,1,4,2,1,1,2,1,1,2,2,Living
MC2,Sulubung,Ethnic,1,32,1,2,6,4,2,2,4,2,4,3,2,3,,1,2,0,40,0,0.15,1.1,0,0,0,1,0,0,0,0,0,2,3,2,3,0,0,0,1,0,2,3,1,0,0,0,0,0,0,1,1,0,1,1,Firewood,2,2,1,5,1,1,1,1,1,0,0,0,4,2,4,2,2,1,2,1,1,2,3,Non-Living
MC3,Sulubung,Ethnic,1,33,1,3,4,3,2,2,2,2,2,3,4,3,,2,2,0,40,0,0.31,2.7,0,0,0,1,0,0,0,0,0,2,3,3,3,0,0,1,0,0,3,3,0,0,0,1,0,0,0,1,2,4,3,1,Firewood,2,2,1,4,1,2,1,0,1,0,0,0,3,1,4,3,2,0,3,0,3,2,4,Living
MC4,Sulubung,Ethnic,2,30,2,2,6,4,3,4,2,3,2,3,3,3,,2,3,1,60,0,0.31,0.4,0,0,0,0,0,0,1,0,0,2,3,3,2,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,2,0,3,1,Firewood,2,2,1,3,1,1,1,0,1,0,0,0,3,2,4,3,3,0,3,0,2,3,3,Non-Living
MC5,Sulubung,Higher,1,43,2,4,5,4,4,2,3,3,2,5,2,3,,2,4,1,30,0,1.02,1.4,0,0,0,1,0,0,0,0,0,2,3,4,2,0,0,0,1,0,3,3,0,0,0,1,0,0,0,1,2,0,3,1,Firewood,1,1,1,2,1,1,1,1,1,0,0,0,3,1,4,2,3,0,2,0,1,2,3,Living
MC6,Sulubung,Higher,1,40,2,3,4,4,4,2,4,2,2,2,3,3,,2,3,1,40,0,1.12,1.7,0,0,0,1,0,0,0,0,0,2,3,3,3,0,0,0,1,0,3,4,0,0,0,1,0,0,0,1,2,0,3,1,Firewood,1,1,1,3,1,1,1,1,1,0,0,0,3,1,4,3,3,0,3,0,2,2,4,Non-Living
MB1,Sulubung,Ethnic,2,26,1,2,10,4,3,3,4,2,3,3,2,3,,1,4,0,40,0,0.51,0.7,0,0,0,1,0,0,0,0,0,5,4,4,3,1,0,0,0,0,3,4,0,0,0,1,0,0,0,1,2,2,3,1,Firewood,2,4,1,4,1,1,1,0,1,0,0,0,3,2,4,2,2,1,1,1,1,1,1,Living
MB2,Sulubung,Ethnic,1,59,1,1,7,5,3,4,4,3,3,3,4,3,,2,2,0,45,0,0.2,0.9,0,0,0,1,0,0,0,0,0,2,2,2,3,0,0,0,1,0,2,2,1,0,0,0,0,0,0,1,1,0,2,1,Firewood,2,1,1,4,2,1,1,0,1,1,0,0,4,2,4,3,3,0,3,1,1,,,Living
MB3,Sulubung,Ethnic,2,38,2,2,5,3,2,5,4,2,1,3,4,3,,2,2,0,35,0,0.31,3.1,0,0,0,1,0,0,0,0,0,2,4,3,2,0,0,1,0,0,2,3,0,0,0,1,0,0,0,1,2,2,3,1,Firewood,2,2,2,4,1,1,1,0,1,0,0,0,3,2,4,3,2,1,2,0,3,1,3,Non-Living
MB4,Sulubung,Ethnic,2,55,2,1,5,2,2,4,2,2,3,4,2,1,,2,2,1,30,0,0.76,0.9,0,0,0,1,0,0,0,0,0,4,3,2,2,0,0,1,0,0,3,3,1,0,0,0,0,0,0,1,2,2,3,1,Firewood,1,1,1,3,1,2,1,0,1,0,0,0,3,2,4,3,3,1,2,0,1,2,3,Living
MB5,Sulubung,Higher,1,33,1,4,5,4,4,2,4,2,2,2,3,3,,2,3,0,30,0,1.02,1.4,0,0,0,1,0,0,0,0,0,4,4,3,3,1,0,0,0,0,4,4,0,0,0,1,0,0,0,1,4,0,3,1,Firewood,1,1,1,3,2,1,1,1,1,1,0,0,3,1,4,3,5,0,2,0,2,2,4,Living and Non-living
MB6,Sulubung,Higher,2,41,1,3,7,5,4,1,4,1,1,4,1,3,,2,2,1,50,0,1.53,1.2,0,0,0,0,0,0,0,0,1,4,4,2,1,0,0,0,1,0,2,3,0,0,0,1,0,0,0,1,1,0,3,1,Firewood,1,1,1,3,2,1,1,0,1,0,0,1,3,1,4,3,4,1,1,0,4,1,2,Living
MA1,Sulubung,Higher,1,24,1,5,9,5,4,1,4,4,1,5,3,5,,4,1,1,40,0,1.27,0.5,0,0,0,1,0,0,0,0,0,2,4,2,1,1,1,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,1,1,Firewood,1,1,2,2,1,2,1,1,1,0,0,0,1,1,4,5,2,0,1,1,2,1,1,Non-Living
MA2,Sulubung,Higher,1,39,2,4,7,4,4,1,2,2,2,5,4,4,,4,4,1,60,0,1.02,0.9,0,0,0,1,0,0,0,0,0,2,4,3,1,1,0,1,1,0,4,4,1,0,0,0,0,0,0,1,4,4,4,1,Firewood,4,2,1,2,1,1,1,1,1,0,0,0,4,1,4,4,2,1,1,1,2,2,2,Spiritual and Abstract
